State,total_amount,total_policies,avg_amount_per_policy
ladakh,7808333.0,3338,2339.22
arunachal-pradesh,23420755.0,10214,2293.01
sikkim,10883384.0,4896,2222.91
jammu-&-kashmir,153923112.0,78375,1963.93
meghalaya,20357362.0,10461,1946.02
nagaland,9156617.0,4745,1929.74
manipur,7150454.0,3731,1916.5
himachal-pradesh,117289072.0,61790,1898.19
punjab,313085772.0,180011,1739.26
uttarakhand,200706613.0,124374,1613.73
kerala,1313718507.0,824235,1593.86
assam,411831038.0,262818,1566.98
uttar-pradesh,1740346495.0,1139153,1527.75
chandigarh,33285885.0,22079,1507.58
rajasthan,959653860.0,639684,1500.2
andaman-&-nicobar-islands,19386792.0,12997,1491.64
mizoram,5462592.0,3724,1466.86
madhya-pradesh,711153467.0,487180,1459.73
haryana,830981227.0,573738,1448.36
chhattisgarh,274344886.0,189517,1447.6
karnataka,2743154847.0,1957404,1401.43
goa,83730005.0,59872,1398.48
tripura,33742456.0,25192,1339.41
jharkhand,348671355.0,260827,1336.79
puducherry,37120853.0,27940,1328.59
telangana,1171059515.0,894342,1309.41
odisha,416559238.0,318769,1306.77
dadra-&-nagar-haveli-&-daman-&-diu,17992414.0,13792,1304.55
maharashtra,2363128536.0,1815539,1301.61
gujarat,729233441.0,562595,1296.2
tamil-nadu,1555507253.0,1215269,1279.97
lakshadweep,624037.0,496,1258.14
west-bengal,1052463239.0,839715,1253.36
bihar,671056815.0,536592,1250.59
delhi,815365172.0,652514,1249.58
andhra-pradesh,812222985.0,697769,1164.03
