State,District,total_transaction_count,total_transaction_amount,State_District
karnataka,bengaluru urban,17108133846,19937841648192,karnataka-bengaluru urban
maharashtra,pune,9369053544,9730217773958,maharashtra-pune
telangana,hyderabad,7701373666,11906937011997,telangana-hyderabad
rajasthan,jaipur,5396870406,7854091516462,rajasthan-jaipur
telangana,rangareddy,5038415120,7155140430405,telangana-rangareddy
telangana,medchal malkajgiri,4107321900,5758877771328,telangana-medchal malkajgiri
andhra-pradesh,visakhapatnam,2575752191,4198568092579,andhra-pradesh-visakhapatnam
odisha,khordha,2447746576,2992147071370,odisha-khordha
haryana,gurugram,2398816248,2399547172350,haryana-gurugram
maharashtra,mumbai suburban,2396700372,2898912678195,maharashtra-mumbai suburban
