State,total_transaction_count,total_transaction_amount
Andaman & Nicobar Islands,39706951,70667453146.59808
Andhra Pradesh,18918696723,34669080454846.84
Arunachal Pradesh,160223357,274434950651.68097
Assam,2262440836,3460792155997.8906
Bihar,10941026824,17901349344779.723
Chandigarh,203855326,292906588372.68616
Chhattisgarh,3733643831,4890472317487.817
Dadra & Nagar Haveli & Daman & Diu,201218415,201719857192.1156
Delhi,8495316647,11637520248963.951
Goa,364944445,511021161407.3032
Gujarat,6726865334,10192905823125.37
Haryana,6744901124,9645036562815.904
Himachal Pradesh,500810554,687537358746.4001
Jammu & Kashmir,820602735,1184683177572.731
Jharkhand,4266420959,5906646115660.92
Karnataka,30970946279,40678721773666.375
Kerala,2300897800,3076269164129.138
Ladakh,39345875,88994622100.10213
Lakshadweep,883994,1609320784.777147
Madhya Pradesh,14072176059,19125279433026.816
Maharashtra,31985208732,40374195687971.67
Manipur,73350340,186265635029.7436
Meghalaya,88635419,162543901207.48492
Mizoram,19535750,46102103410.33138
Nagaland,54768743,130358591755.69928
Odisha,8918527452,12263982051532.615
Puducherry,166605297,237317074404.26517
Punjab,1772412497,2983077809927.293
Rajasthan,17108537898,26343235566259.24
Sikkim,65860842,118945401940.84946
Tamil Nadu,7796386037,11936219022648.531
Telangana,26174684592,41655955630076.31
Tripura,120838496,200583408419.46307
Uttar Pradesh,18523603727,26885212184899.863
Uttarakhand,1458837297,1916488572014.317
West Bengal,9191499687,15584164309413.684
